calculator,resolution,mean_time,std_time,min_time,num_runs,times
NativeCalculator,256,0.208003,0.000431,0.207513,3,0.208563;0.207513;0.207933
NativeCalculator,512,0.826114,0.001074,0.825185,3,0.827619;0.825185;0.825537
NativeCalculator,1024,3.305747,0.000780,3.304907,3,3.304907;3.305546;3.306787
NativeCalculator,2048,13.198777,0.014771,13.184853,3,13.219225;13.192255;13.184853
NumbaCalculator,256,0.010686,0.000165,0.010562,3,0.010919;0.010577;0.010562
NumbaCalculator,512,0.041316,0.000383,0.041038,3,0.041858;0.041052;0.041038
NumbaCalculator,1024,0.160799,0.001431,0.159677,3,0.162818;0.159901;0.159677
NumbaCalculator,2048,0.642069,0.002705,0.639975,3,0.639975;0.640344;0.645888
NumbaCalculator,4096,2.521900,0.004019,2.518188,3,2.518188;2.520028;2.527484
NumbaCalculator,8192,10.021681,0.012180,10.005850,3,10.035475;10.023717;10.005850
CupyCalculator,256,0.026156,0.000070,0.026087,3,0.026252;0.026129;0.026087
CupyCalculator,512,0.027687,0.000063,0.027632,3,0.027632;0.027655;0.027775
CupyCalculator,1024,0.038331,0.000141,0.038212,3,0.038530;0.038251;0.038212
CupyCalculator,2048,0.082834,0.000315,0.082565,3,0.082660;0.083276;0.082565
CupyCalculator,4096,0.351127,0.003664,0.345946,3,0.345946;0.353654;0.353782
CupyCalculator,8192,1.424310,0.005841,1.416056,3,1.416056;1.428164;1.428710
CupyCalculator,16384,5.636430,0.047617,5.569318,3,5.569318;5.674790;5.665182
Multiprocess_NumpyCalculator,256,0.231928,0.002139,0.229961,3,0.234902;0.230921;0.229961
Multiprocess_NumpyCalculator,512,0.241475,0.001538,0.239730,3,0.239730;0.241224;0.243471
Multiprocess_NumpyCalculator,1024,0.265103,0.007711,0.259537,3,0.259765;0.259537;0.276007
Multiprocess_NumpyCalculator,2048,0.324381,0.001447,0.322524,3,0.322524;0.326053;0.324566
Multiprocess_NumpyCalculator,4096,0.517489,0.003982,0.512036,3,0.512036;0.521435;0.518995
Multiprocess_NumpyCalculator,8192,1.421488,0.010907,1.406064,3,1.429029;1.429370;1.406064
Multiprocess_NumpyCalculator,16384,5.447066,0.606132,4.870360,3,5.186192;4.870360;6.284648
Multiprocess_NumbaCalculator,256,1.758278,0.774441,1.122408,3,2.848476;1.303950;1.122408
Multiprocess_NumbaCalculator,512,1.143455,0.007449,1.132946,3,1.149353;1.148066;1.132946
Multiprocess_NumbaCalculator,1024,1.156188,0.008322,1.148609,3,1.152179;1.167775;1.148609
Multiprocess_NumbaCalculator,2048,1.185822,0.026912,1.153611,3,1.219483;1.153611;1.184371
Multiprocess_NumbaCalculator,4096,1.328081,0.020168,1.310912,3,1.356391;1.310912;1.316941
Multiprocess_NumbaCalculator,8192,1.685804,0.320194,1.459133,3,2.138627;1.459133;1.459654
Multiprocess_NumbaCalculator,16384,4.399749,0.585350,3.964169,3,3.964169;4.007905;5.227174
Multiprocess_NumbaCalculator,32768,24.908423,2.087725,21.966004,3,21.966004;26.590628;26.168638
