calculator,resolution,mean_time,std_time,min_time,num_runs,times
NumpyCalculator,256,0.020049,0.000243,0.019858,3,0.020392;0.019858;0.019897
NumpyCalculator,512,0.079346,0.000671,0.078522,3,0.079351;0.078522;0.080166
NumpyCalculator,1024,0.300048,0.001130,0.298962,3,0.298962;0.301606;0.299576
NumpyCalculator,2048,1.402975,0.002881,1.399519,3,1.399519;1.402835;1.406573
NumpyCalculator,4096,6.950174,0.003251,6.947128,3,6.954679;6.947128;6.948714
NumbaCalculator,256,0.010599,0.000062,0.010545,3,0.010686;0.010565;0.010545
NumbaCalculator,512,0.040849,0.000069,0.040789,3,0.040946;0.040813;0.040789
NumbaCalculator,1024,0.158659,0.000289,0.158449,3,0.159068;0.158449;0.158460
NumbaCalculator,2048,0.639538,0.000642,0.638724,3,0.640295;0.638724;0.639595
NumbaCalculator,4096,2.523427,0.008025,2.517743,3,2.534775;2.517762;2.517743
NumbaCalculator,8192,9.984443,0.019325,9.957798,3,9.957798;9.992498;10.003032
CupyCalculator,256,0.026251,0.000093,0.026148,3,0.026373;0.026148;0.026231
CupyCalculator,512,0.027808,0.000205,0.027530,3,0.027875;0.027530;0.028019
CupyCalculator,1024,0.038190,0.000165,0.038050,3,0.038422;0.038050;0.038098
CupyCalculator,2048,0.082062,0.000478,0.081388,3,0.081388;0.082448;0.082350
CupyCalculator,4096,0.351462,0.003944,0.345884,3,0.345884;0.354288;0.354214
CupyCalculator,8192,1.425417,0.006149,1.416729,3,1.416729;1.429453;1.430070
CupyCalculator,16384,5.711489,0.096681,5.574768,3,5.574768;5.781063;5.778636
CudaCalculator,256,0.000240,0.000040,0.000210,3,0.000296;0.000213;0.000210
CudaCalculator,512,0.000873,0.000579,0.000463,3,0.000463;0.001693;0.000464
CudaCalculator,1024,0.003002,0.001803,0.001638,3,0.001638;0.005550;0.001818
CudaCalculator,2048,0.003515,0.000493,0.003131,3,0.004210;0.003131;0.003203
CudaCalculator,4096,0.013436,0.000246,0.013089,3,0.013089;0.013626;0.013594
CudaCalculator,8192,0.055313,0.004760,0.051382,3,0.062011;0.051382;0.052545
CudaCalculator,16384,0.199341,0.000726,0.198353,3,0.199593;0.200077;0.198353
CudaCalculator,32768,0.795774,0.008375,0.789203,3,0.789203;0.807594;0.790525
Multiprocess_NumpyCalculator,256,0.247735,0.002775,0.244144,3,0.244144;0.250901;0.248161
Multiprocess_NumpyCalculator,512,0.255944,0.000780,0.254915,3,0.254915;0.256802;0.256115
Multiprocess_NumpyCalculator,1024,0.279791,0.002183,0.277754,3,0.277754;0.278800;0.282818
Multiprocess_NumpyCalculator,2048,0.343917,0.011829,0.331855,3,0.331855;0.339911;0.359986
Multiprocess_NumpyCalculator,4096,0.622420,0.042952,0.562753,3,0.562753;0.642396;0.662111
Multiprocess_NumpyCalculator,8192,1.545307,0.050202,1.487829,3,1.610138;1.537954;1.487829
Multiprocess_NumpyCalculator,16384,5.624195,0.426247,5.021774,3,5.021774;5.944016;5.906796
Multiprocess_NumbaCalculator,256,1.545542,0.491688,1.184647,3,2.240724;1.184647;1.211255
Multiprocess_NumbaCalculator,512,1.219369,0.015339,1.199972,3,1.199972;1.220656;1.237477
Multiprocess_NumbaCalculator,1024,1.240659,0.015374,1.222524,3,1.260113;1.239339;1.222524
Multiprocess_NumbaCalculator,2048,1.268847,0.016558,1.249660,3,1.249660;1.266814;1.290067
Multiprocess_NumbaCalculator,4096,1.440744,0.003860,1.437392,3,1.446152;1.437392;1.438689
Multiprocess_NumbaCalculator,8192,2.207209,0.063817,2.135287,3,2.195952;2.135287;2.290386
Multiprocess_NumbaCalculator,16384,4.966022,0.361604,4.695680,3,4.725265;5.477122;4.695680
Multiprocess_NumbaCalculator,32768,20.444369,0.217861,20.222904,3,20.740601;20.222904;20.369602
