calculator,resolution,mean_time,std_time,min_time,num_runs,times
NativeCalculator,256,0.176431,0.010338,0.166503,3,0.172102;0.166503;0.190689
NativeCalculator,512,0.700857,0.010301,0.693118,3,0.715415;0.693118;0.694039
NativeCalculator,1024,2.742851,0.006786,2.733257,3,2.747834;2.733257;2.747462
NativeCalculator,2048,10.898285,0.177351,10.647472,3,11.023817;10.647472;11.023565
NumbaCalculator,256,0.005282,0.000068,0.005202,3,0.005369;0.005275;0.005202
NumbaCalculator,512,0.021090,0.000243,0.020848,3,0.021421;0.021000;0.020848
NumbaCalculator,1024,0.084670,0.000221,0.084428,3,0.084962;0.084619;0.084428
NumbaCalculator,2048,0.344565,0.012320,0.334025,3,0.361850;0.334025;0.337819
NumbaCalculator,4096,1.351007,0.016047,1.339567,3,1.373701;1.339567;1.339754
NumbaCalculator,8192,5.483788,0.050719,5.413327,3,5.530640;5.507399;5.413327
Multiprocess_NumpyCalculator,256,0.609109,0.009769,0.599161,3,0.605780;0.622386;0.599161
Multiprocess_NumpyCalculator,512,0.631662,0.006201,0.625497,3,0.629342;0.640146;0.625497
Multiprocess_NumpyCalculator,1024,0.680196,0.002159,0.677549,3,0.680199;0.677549;0.682839
Multiprocess_NumpyCalculator,2048,0.976815,0.074024,0.916626,3,0.916626;1.081087;0.932733
Multiprocess_NumpyCalculator,4096,1.839500,0.082973,1.723034,3,1.723034;1.885344;1.910121
Multiprocess_NumpyCalculator,8192,5.309711,0.312070,4.945480,3,4.945480;5.707658;5.275994
Multiprocess_NumbaCalculator,256,0.900653,0.011596,0.887750,3,0.898339;0.887750;0.915870
Multiprocess_NumbaCalculator,512,0.975884,0.062488,0.931617,3,1.064256;0.931778;0.931617
Multiprocess_NumbaCalculator,1024,1.039798,0.027174,1.013413,3,1.028792;1.013413;1.077187
Multiprocess_NumbaCalculator,2048,1.074705,0.018936,1.048643,3,1.093069;1.048643;1.082403
Multiprocess_NumbaCalculator,4096,1.286233,0.017670,1.262562,3,1.305006;1.291130;1.262562
Multiprocess_NumbaCalculator,8192,2.238221,0.024386,2.203752,3,2.203752;2.256428;2.254482
Multiprocess_NumbaCalculator,16384,6.841026,0.356529,6.477393,3,6.477393;7.325329;6.720357
